hasDate,type,Long,Lat,locationName,CurrencyName,geonameID
GREGORIAN:1676-08-25,meal,6.79743,46.66871,Moudon,Franken,2659569
GREGORIAN:1676-08-26,meal,6.33167,46.45755,Rolle,Schweizer Batzen,2658989
GREGORIAN:1676-08-27,meal,6.15,46.2,Genf,Reichsthaler,2660646
GREGORIAN:1678-05-10,meal,4.841388888,45.758888888,Lyon,Reichsthaler,2996944
GREGORIAN:1678-05-10,meal,5.056388888,45.851666666,Montluel,Reichsthaler,299229
GREGORIAN:1678-05-14,meal,3.086944444,45.779722222,Clermont-Ferrand,Reichsthaler,3024635
GREGORIAN:1678-05-14,meal,3.086944444,45.779722222,Clermont-Ferrand,Reichsthaler,3024635
GREGORIAN:1678-05-14,meal,3.086944444,45.779722222,Clermont-Ferrand,Reichsthaler,3024635
GREGORIAN:1678-05-19,meal,3.086944444,45.779722222,Clermont-Ferrand,Reichsthaler,3024635
GREGORIAN:1678-05-19,meal,3.086944444,45.779722222,Clermont-Ferrand,Reichsthaler,3024635
GREGORIAN:1679-07-01,meal,1.261666666,45.834444444,Limoges,Thaler,2998286
GREGORIAN:1679-07-06:1679-07-08,meal,0.481944444,44.851111111,Bergerac,Sol,3033391
GREGORIAN:1679-07-08,meal,0.217222222,44.840555555,Sainte-Foy-la-Grande,Sol,2980589
GREGORIAN:1679-07-30,meal,-0.318611111,44.636111111,Cadillac,Sol,3029253
GREGORIAN:1680-02-19:1680-02-20,meal,5.732222222,47.746388888,La Rochelle,Reichsthaler,3006787
GREGORIAN:1680-02-23,meal,-1.050555555,46.686944444,Chantonnay,Sol,3026823
GREGORIAN:1680-02-23,meal,-1.17798,46.85226,Saint-Fulgent,Sol,2980059
GREGORIAN:1680-02-24,meal,-1.31,46.972777777,Montaigu,Sol,2993092
GREGORIAN:1680-02-24,meal,-1.376944444,47.055833333,Remouillé,Sol,2984038
GREGORIAN:1680-02-26,meal,-1.553888888,47.217222222,Nantes,Franken,2990969
GREGORIAN:1680-02-27,meal,-1.178333333,47.372777777,Ancenis,Sol,3037797
GREGORIAN:1680-02-27,meal,-1.286944444,47.346388888,Oudon,Sol,2989058
GREGORIAN:1680-02-28:1680-03-01,meal,-0.555555555,47.472777777,Angers,Sol,3037656
GREGORIAN:1680-03-02,meal,-0.318888888,47.413055555,Saint-Mathurin-sur-Loire,Sol,2978197
GREGORIAN:1680-03-03,meal,-0.078055555,47.259166666,Saumur,Sol,2975758
GREGORIAN:1680-03-05,meal,0.223888888,47.248611111,La Chapelle-sur-Loire,Sol,3010235
GREGORIAN:1680-03-05,meal,0.126944444,47.236388888,Chouzé-sur-Loire,Sol,3025007
GREGORIAN:1680-03-06,meal,0.406111111,47.325555555,Langeais,Sol,3007729
GREGORIAN:1680-03-06:1680-03-07,meal,0.688333333,47.392777777,Tours,Sol,2972191
GREGORIAN:1680-03-08,meal,0.9825,47.411388888,Amboise,Sol,3037902
GREGORIAN:1680-03-09,meal,1.185555555,47.48,Chaumont-sur-Loire,Sol,3025876
GREGORIAN:1680-03-11,meal,1.488611111,47.655833333,Saint-Dyé-sur-Loire,Sol,2980796
GREGORIAN:1680-03-12,meal,1.631666666,47.778333333,Beaugency,Sol,3034297
GREGORIAN:1680-03-12:1680-03-13,meal,1.904166666,47.902222222,Orléans,Sol,2989317
