nameLocation,wiki_link,geonameID/mapID,Long,Lat
Gottlieben,https://www.wikidata.org/wiki/Q66302,7285948,9.133811111,47.6643
Gravesend,https://www.wikidata.org/wiki/Q676689,2648187,0.368611111,51.441666666
Grebenstein,,2917848,,
Greenwich,https://www.wikidata.org/wiki/Q179385,2647937,0.0,51.48
Grenchen,https://www.wikidata.org/wiki/Q68248,2660512,7.395833333,47.193055555
Groningen,https://www.wikidata.org/wiki/Q749,2755251,6.5675,53.218888888
Haarlem,https://www.wikidata.org/wiki/Q9920,2755003,4.640555555,52.380277777
Hamburg,https://www.wikidata.org/wiki/Q1055,2911298,10.0,53.55
Harlingen,https://www.wikidata.org/wiki/Q60475,2754817,5.4272,53.1736
Harville,https://www.wikidata.org/wiki/Q195184,3013882,5.7275,49.098611111
Hauenstein,https://www.wikidata.org/wiki/Q66060,7286035,7.85594,47.37111
Heidelberg,https://www.wikidata.org/wiki/Q2966,2907911,8.71,49.412222222
Herstelle,https://www.wikidata.org/wiki/Q1614586,2905570,9.417777777,51.642222222
Hessisch Oldendorf,https://www.wikidata.org/wiki/Q533826,2905290,9.25,52.166666666
Heyen,https://www.wikidata.org/wiki/Q566299,6552510,9.516666666,52.016666666
Hiers-Brouage,,6427968,,
Hölstein,https://www.wikidata.org/wiki/Q22444499,2660311,7.77136,47.42512
Hohle Gasse,https://www.wikidata.org/wiki/Q1624016,10388486,8.453163888,47.092330555
Holzminden,https://www.wikidata.org/wiki/Q55425,2899601,9.448333333,51.829722222
Hombressen,,2899462,,
Höxter,,2898321,,
Hügelsheim,https://www.wikidata.org/wiki/Q83092,2898004,8.111666666,48.797222222
Huttwil,,2660281,,
Île de Cazeau,https://gallica.bnf.fr/ark:/12148/btv1b8592694j/f1,3028059,,
Immenhausen,,2896279,,
Immensee,https://www.wikidata.org/wiki/Q484512,2660266,8.463611111,47.096944444
Ingrandes-le-Fresne-sur-Loire,https://www.wikidata.org/wiki/Q21027238,6619291,-0.9194,47.4039
Kaiserstuhl,https://www.wikidata.org/wiki/Q67094,2660201,8.419166666,47.568611111
Kampen,https://www.wikidata.org/wiki/Q10014,2753106,5.919722222,52.555
Kappel,,2660189,,
Kassel,https://www.wikidata.org/wiki/Q2865,2892518,9.497916666,51.315777777
Klus,,10398745,7.69447,47.30474
Köln,https://www.wikidata.org/wiki/Q365,2886242,6.957777777,50.942222222
Konstanz,,2885679,,
Küssnacht,https://www.wikidata.org/wiki/Q69216,2660088,8.5825,47.318055555
La Brède,https://www.wikidata.org/wiki/Q244712,3010827,-0.528611111,44.681388888
La Ferté-Milon,https://www.wikidata.org/wiki/Q454511,3009485,3.123888888,49.178333333
Lahnstein,https://www.wikidata.org/wiki/Q569639,2881889,7.605555555,50.301111111
Lac d'Annecy,,3037541,,
Bielersee,https://www.wikidata.org/wiki/Q14429,2661512,7.174166666,47.085555555
Genfersee,https://www.wikidata.org/wiki/Q6403,2660647,6.533333333,46.45
